distribution,x_axis_value,mu,case,entity_id
Uniform,15,0.9324999999999999,Average,870
Uniform,16,0.9400000000000001,Worst,870
Uniform,16,0.9430000000000002,Average,870
Uniform,17,0.9484999999999999,Worst,870
Uniform,17,0.943,Average,870
Uniform,18,0.9465,Worst,870
Uniform,18,0.9390000000000001,Average,870
Uniform,19,0.9400000000000001,Worst,870
Uniform,19,0.9455,Average,870
Uniform,20,0.943,Worst,870
Uniform,20,0.9504999999999999,Average,870
Uniform,21,0.9479999999999998,Worst,870
Uniform,21,0.951,Average,870
Uniform,22,0.9584999999999999,Worst,870
Uniform,22,0.9525,Average,870
Uniform,23,0.9610000000000001,Worst,870
Uniform,23,0.9490000000000001,Average,870
Uniform,24,0.9594999999999999,Worst,870
Uniform,24,0.9614999999999998,Average,870
Uniform,25,0.9604999999999999,Worst,870
Uniform,25,0.9595,Average,870
Uniform,26,0.9645000000000001,Worst,870
Uniform,26,0.9624999999999998,Average,870
Uniform,27,0.9574999999999999,Worst,870
Uniform,27,0.9584999999999999,Average,870
Uniform,28,0.9644999999999999,Worst,870
Uniform,28,0.9654999999999999,Average,870
Uniform,29,0.97,Worst,870
Uniform,29,0.968,Average,870
Uniform,30,0.9674999999999999,Worst,870
Uniform,30,0.9650000000000001,Average,870
Uniform,1,0.32449999999999996,Worst,15393162789933
Uniform,1,0.31450000000000006,Average,15393162789933
Uniform,2,0.5864999999999999,Worst,15393162789933
Uniform,2,0.5914999999999999,Average,15393162789933
Uniform,3,0.7055000000000001,Worst,15393162789933
Uniform,3,0.712,Average,15393162789933
Uniform,4,0.7805000000000001,Worst,15393162789933
Uniform,4,0.7765,Average,15393162789933
Uniform,5,0.826,Worst,15393162789933
Uniform,5,0.8094999999999999,Average,15393162789933
Uniform,6,0.8569999999999999,Worst,15393162789933
Uniform,6,0.858,Average,15393162789933
Uniform,7,0.865,Worst,15393162789933
Uniform,7,0.8605,Average,15393162789933
Uniform,8,0.8815,Worst,15393162789933
Uniform,8,0.8775000000000001,Average,15393162789933
Uniform,9,0.8925000000000001,Worst,15393162789933
Uniform,9,0.8805,Average,15393162789933
Uniform,10,0.917,Worst,15393162789933
Uniform,10,0.9035,Average,15393162789933
Uniform,11,0.9075,Worst,15393162789933
Uniform,11,0.9165000000000001,Average,15393162789933
Uniform,12,0.924,Worst,15393162789933
Uniform,12,0.9299999999999999,Average,15393162789933
Uniform,13,0.9094999999999999,Worst,15393162789933
Uniform,13,0.9275,Average,15393162789933
Uniform,14,0.9294999999999998,Worst,15393162789933
Uniform,14,0.9369999999999999,Average,15393162789933
Uniform,15,0.9365,Worst,15393162789933
Uniform,15,0.9305,Average,15393162789933
Uniform,16,0.9350000000000002,Worst,15393162789933
Uniform,16,0.944,Average,15393162789933
Uniform,17,0.9404999999999999,Worst,15393162789933
Uniform,17,0.9355,Average,15393162789933
Uniform,18,0.9455,Worst,15393162789933
Uniform,18,0.9524999999999999,Average,15393162789933
Uniform,19,0.9574999999999999,Worst,15393162789933
Uniform,19,0.952,Average,15393162789933
Uniform,20,0.958,Worst,15393162789933
Uniform,20,0.9450000000000001,Average,15393162789933
Uniform,21,0.9445,Worst,15393162789933
Uniform,21,0.9600000000000002,Average,15393162789933
Uniform,22,0.9605,Worst,15393162789933
Uniform,22,0.951,Average,15393162789933
Uniform,23,0.954,Worst,15393162789933
Uniform,23,0.9579999999999999,Average,15393162789933
Uniform,24,0.961,Worst,15393162789933
Uniform,24,0.9564999999999999,Average,15393162789933
Uniform,25,0.9625,Worst,15393162789933
Uniform,25,0.961,Average,15393162789933
Uniform,26,0.967,Worst,15393162789933
Uniform,26,0.9700000000000001,Average,15393162789933
Uniform,27,0.9640000000000001,Worst,15393162789933
Uniform,27,0.9650000000000001,Average,15393162789933
Uniform,28,0.9650000000000001,Worst,15393162789933
Uniform,28,0.9639999999999999,Average,15393162789933
Uniform,29,0.9589999999999999,Worst,15393162789933
Uniform,29,0.9669999999999999,Average,15393162789933
Uniform,30,0.9764999999999999,Worst,15393162789933
Uniform,30,0.9754999999999999,Average,15393162789933
Uniform,1,0.0,Worst,10995116278647
Uniform,1,0.0,Average,10995116278647
Uniform,2,0.5035000000000001,Worst,10995116278647
Uniform,2,0.4840000000000001,Average,10995116278647
Uniform,3,0.6620000000000001,Worst,10995116278647
Uniform,3,0.6755,Average,10995116278647
Uniform,4,0.7415,Worst,10995116278647
Uniform,4,0.7379999999999999,Average,10995116278647
Uniform,5,0.794,Worst,10995116278647
